title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	EXPORT_GRDI
			Transportation Vehicles						environmental_site:
		FOODON:03414166	Turkey						host (common name):
			Unknown						host (common name):
		CHEBI:33290	Unknown Food						food_product:
			Unspecified						
		FOODON:00003004	Unspecified Animal						host (common name):
			Unspecified Environmental						environmental_site:
		CURATION:0001610	Unspecified Food						food_product:
		CHEBI:33290	Unspecified Product						
			Ursine						host (common name):
			Vegetable/Spice						food_product:
		CHEBI:15377	Water						environmental_material:
COMMODITY menu	CommodityMenu		<=16						
		FOODON:00001041	Beef						food_product:
		FOODON:03411198	Broiler						host (common name):
		ENVO:00003862	Dairy						environmental_site:
			Domestic/Farmed						
		FOODON:00001274	Egg						food_product:
		NCIT:C37984	Laboratory						environmental_site:
		FOODON:00001006	Meat						food_product:
		FOODON:00002912	Mutton						food_product:
			Pet						host (common name):
		ENVO:00010625	Pet/Zoo						environmental_site:
		FOODON:00003083	Red Veal						food_product:
			Unknown						host (common name):
		FOODON:00003083	Veal						food_product:
		FOODON:00003083	White Veal						food_product:
		FOODON:03530153	Wild						
SPECIMENSOURCE_1 menu	SpecimenSource1Menu		2						
			<=32						
		CURATION:0000508	Aliquote / Portion						
		UBERON:0000178	Blood						anatomical_material:
		FOODON:00001564	Blood Meal						food_product:
			Body Fluid/Excretion						anatomical_material:
		UBERON:0008979	Carcass						anatomical_part:
		SEP:00042	Check Sample						
			Contact plate						collection_device:
		CURATION:0000488	Culture						
		ENVO:00002008	Dust						environmental_material:
		FOODON:00001274	Egg						food_product:
			Environment (Animal)						
		CURATION:0001610	Environmental						environmental_material:;environmental_site:
		UBERON:0001988	Feces						body_product:
			Fetus/Embryo						anatomical_part:
		UBERON:0000062	Organ						anatomical_part:
			Organ/Tissue						anatomical_material:
		NCIT:C53471	Proficiency Isolate						
		CURATION:0000488	Reference Culture						
		CURATION:0001629	Rinse						environmental_material:
			Septage						environmental_material:
		FOODON:03316468	Soya Meal						food_product:
		UBERON:0001988	Stool						body_product:
		NCIT:C17627	Swab						collection_device:
		UBERON:0000479	Tissue						anatomical_material:
		UO:0000000	Unit (Pre-Packaged)						
			Unknown						host (common name):
			Unspecified						
		UBERON:0001088	Urine						body_product:
SPECIMENSUBSOURCE_1 menu	SpecimenSubsource1Menu		0.25						
			<=0.12						
			<=16						
			aansarraysubsource						
		UBERON:0000916	Abdomen						anatomical_part:
		UBERON:0002378	Abdominal Muscle						anatomical_part:
		UBERON:0007358	Abomasum						anatomical_part:
		HP:0025615	Abscess						anatomical_material:
		ENVO:00002005	Air Intake						environmental_site:
		UBERON:0009060	Air Sac						anatomical_part:
			Anal Gland						anatomical_part:
		FOODON:00003004	Animal Pen						environmental_site:
		FOODON:03302184	Balut						food_product:
		CURATION:0000406	Belt						environmental_site:
		CURATION:0000504	Bladder						anatomical_part:
		UBERON:0000178	Blood						anatomical_material:
		UBERON:0001981	Blood vessel						anatomical_part:
		UBERON:0001474	Bone						anatomical_material:
		UBERON:0002371	Bone Marrow						anatomical_material:
			Bootie						environmental_material:
		CURATION:0000401	Boots						environmental_material:
		UBERON:0000955	Brain						anatomical_part:
		CURATION:0000502	Bursa of Fabricus						anatomical_part:
			Cages						environmental_site:
		CURATION:0000480	Cavity Fluid (Unspecified)						anatomical_material:
		CURATION:0000480	Cavity fluid unspecified						anatomical_material:
			Cecal Content						body_product:
		CURATION:0000495	Cecum						anatomical_part:
			Chick Boxes						environmental_site:
			Chick Pads						environmental_material:
		CURATION:0000491	Cloacae						anatomical_part:
		NCIT:C17627	Cloacal swab						anatomical_part:
		UBERON:0001155	Colon						anatomical_part:
			Confirmation						?
		FOODON:03490213	Crates						environmental_site:
		UBERON:0007356	Crop						environmental_material:
			Culture Plate						collection_device:
		UBERON:0001007	Digestive System (Unspecified)						anatomical_part:
		UBERON:0002114	Duodenum						anatomical_part:
		ENVO:00002008	Dust						environmental_material:
		UBERON:0001690	Ear						anatomical_part:
			Egg Belt						environmental_site:
			Environment Swab						collection_device:
			Environment Swab (Hatchery)						environmental_site:hatchery;collection_device:swab
		UBERON:0001043	Esophagus						anatomical_part:
		BFO:0000019	External Quality Assurance						?
		UBERON:0000970	Eye						anatomical_part:
		ENVO:00000104	Fan						environmental_site:
		UBERON:0001988	Fecal Slurry						environmental_material:
		UBERON:0001988	Feces						body_product:
		FOODON:03309997	Feed						food_product:
		CURATION:0000419	Feeders and Drinkers						environmental_site:
			Fetal Tissue						anatomical_material:
		CURATION:0001488	Final Wash						environmental_material:
		CURATION:0000335	Floor						environmental_site:
			Fluff						environmental_material:
		ENVO:01001873	Fluff (Hatchery)						environmental_material:
		UO:0010013	Foot						anatomical_part:
		UBERON:0002110	Gall Bladder						anatomical_part:
		UBERON:0002110	Gallbladder						anatomical_part:
		UBERON:0000045	Ganglion						anatomical_part:
		UBERON:0005052	Gizzard						anatomical_part:
			Growth / lesion (unspecified tissue)						anatomical_material:
			Growth/Lesion (Unspecified Tissue)						anatomical_material:
		UBERON:0000948	Heart						anatomical_part:
		UBERON:0002116	Ileum						anatomical_part:
		ENVO:01000417	In-House						
		NCIT:C37984	Inter-Lab Exchange						
			Intestinal Contents						anatomical_material:
		UBERON:0000160	Intestine						anatomical_part:
		UBERON:0002115	Jejunum						anatomical_part:
		UBERON:0004905	Joint						anatomical_part:
		UBERON:0001090	Joint Fluid						anatomical_material:
		UBERON:0002113	Kidney						anatomical_part:
		CURATION:0000463	Levage/peritoneal						anatomical_material:
			Levage/Tracheal						anatomical_material:
		CURATION:0001446	Litter						environmental_material:
		CURATION:0001446	Litter/Manure						environmental_material:
		ENVO:01000602	Live Haul Truck						environmental_site:
		ENVO:01000602	Live Haul Truck/Trailer						environmental_site:
		UBERON:0002107	Liver						food_product:
		UBERON:0002048	Lung						anatomical_part:
		UBERON:0000029	Lymph Node						anatomical_part:
		ENVO:01001872	Manure Pit						environmental_site:
		UBERON:0007109	Meconium						body_product:
		UBERON:0002509	Mesenteric Lymph Node						anatomical_part:
