class_name	slot_group	slot_uri	title	name	range	range_2	identifier	required	recommended	multivalued	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GRDI
	Fields to put in sections		CSXT	csxt	WhitespaceMinimizedString													
	Fields to put in sections		CTET	ctet	WhitespaceMinimizedString													
	Fields to put in sections		CTIO	ctio	WhitespaceMinimizedString													
	Fields to put in sections		STHY_TESTSRC_ID	sthy_testsrc_id	WhitespaceMinimizedString													
	Fields to put in sections		WINN_TESTSRC_ID	winn_testsrc_id	WhitespaceMinimizedString													
	Fields to put in sections		GUEL_TESTSRC_ID	guel_testsrc_id	WhitespaceMinimizedString													
	Fields to put in sections		RCIP_DANMAP	rcip_danmap	WhitespaceMinimizedString													
	Fields to put in sections		EPIDATESTAMP_1	epidatestamp_1	WhitespaceMinimizedString													
	Fields to put in sections		ACSSUT	acssut	WhitespaceMinimizedString													
	Fields to put in sections		AKSSUT	akssut	WhitespaceMinimizedString													
	Fields to put in sections		ACKSSUT	ackssut	WhitespaceMinimizedString													
	Fields to put in sections		MDR_A_SSUT	mdr_a_ssut	WhitespaceMinimizedString													
	Fields to put in sections		EXCLUSION	exclusion	WhitespaceMinimizedString													
	Fields to put in sections		RAMINOGLY	raminogly	WhitespaceMinimizedString													
	Fields to put in sections		RBETALACTAM	rbetalactam	WhitespaceMinimizedString													
	Fields to put in sections		RQUINOLONES	rquinolones	WhitespaceMinimizedString													
	Fields to put in sections		RFOLINHIBITOR	rfolinhibitor	WhitespaceMinimizedString													
	Fields to put in sections		MDR	mdr	WhitespaceMinimizedString													
	Fields to put in sections		specimen_number	specimen_number	WhitespaceMinimizedString													
	Fields to put in sections		EXTERNAL_AGENT	external_agent	WhitespaceMinimizedString													
	Fields to put in sections		FARM_FLAG	farm_flag	WhitespaceMinimizedString													
	Fields to put in sections		AMIKACINGELET	amikacingelet	WhitespaceMinimizedString													
																		
