Ontology ID	parent class	label	datatype	requirement	description	examples	guidance	source	data status	min value	max value	capitalize
MIXS:0000018	environment field	depth	xs:token	required	"The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples."	10 meter	"Expected value: measurement value. Position: 6.0. This field is used in: 8 packages: host-associated, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, wastewater_sludge, water"					
MIXS:0000178	core field	diether_lipids	xs:token		Concentration of diether lipids; can include multiple types of diether lipids	0.2 nanogram per liter	"Expected value: diether lipid name;measurement value. Preferred unit: nanogram per liter. Occurrence: m. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000436	core field	diss_carb_dioxide	xs:token		Concentration of dissolved carbon dioxide in the sample or liquid portion of the sample	5 milligram per liter	"Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter. Occurrence: 1. Position: 78.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000179	core field	diss_hydrogen	xs:token		Concentration of dissolved hydrogen	0.3 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000434	core field	diss_inorg_carb	xs:token		"Dissolved inorganic carbon concentration in the sample, typically measured after filtering the sample using a 0.45 micrometer filter"	2059 micromole per kilogram	"Expected value: measurement value. Preferred unit: microgram per liter, milligram per liter, parts per million. Occurrence: 1. Position: 73.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000698	core field	diss_inorg_nitro	xs:token		Concentration of dissolved inorganic nitrogen	761 micromole per liter	"Expected value: measurement value. Preferred unit: microgram per liter, micromole per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: water"					
MIXS:0000106	core field	diss_inorg_phosp	xs:token		Concentration of dissolved inorganic phosphorus in the sample	56.5 micromole per liter	"Expected value: measurement value. Preferred unit: microgram per liter, milligram per liter, parts per million. Occurrence: 1. Position: 74.0. This field is used in: 3 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, water"					
MIXS:0000433	core field	diss_org_carb	xs:token		"Concentration of dissolved organic carbon in the sample, liquid portion of the sample, or aqueous phase of the fluid"	197 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter. Occurrence: 1. Position: 72.0. This field is used in: 5 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, sediment, water"					
MIXS:0000162	core field	diss_org_nitro	xs:token		Dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	0.05 micromole per liter	"Expected value: measurement value. Preferred unit: microgram per liter, milligram per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000119	core field	diss_oxygen	xs:token		Concentration of dissolved oxygen	175 micromole per kilogram	"Expected value: measurement value. Preferred unit: micromole per kilogram, milligram per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000703	core field	down_par	xs:token		Visible waveband radiance and irradiance measurements in the water column	28.71 microEinstein per square meter per second	"Expected value: measurement value. Preferred unit: microEinstein per square meter per second, microEinstein per square centimeter per second. Occurrence: 1. Position: 1.0. This field is used uniquely in: water"					
MIXS:0000093	environment field	elev	xs:token	required	"Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit."	100 meter	"Expected value: measurement value. Position: 7.0. This field is used in: 9 packages: air, host-associated, hydrocarbon resources-cores, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, water"					
MIXS:0000012	environment field	env_broad_scale	select	required	"Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvOs biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS"	oceanic epipelagic zone biome [ENVO:01000033] for annotating a water sample from the photic zone in middle of the Atlantic Ocean	Expected value: The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.. Position: 10.0					
MIXS:0000013	environment field	env_local_scale	select	required	"Report the entity or entities which are in the sample or specimens local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS"	litter layer [ENVO:01000338]; Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336].	Expected value: Environmental entities having causal influences upon the entity at time of sampling.. Position: 11.0					
