class_name	slot_group	slot_uri	title	name	range	range_2	identifier	required	recommended	multivalued	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GRDI
	Fields to put in sections		CSXT		WhitespaceMinimizedString													
	Fields to put in sections		CTET		WhitespaceMinimizedString													
	Fields to put in sections		CTIO		WhitespaceMinimizedString													
	Fields to put in sections		STHY_TESTSRC_ID		WhitespaceMinimizedString													
	Fields to put in sections		WINN_TESTSRC_ID		WhitespaceMinimizedString													
	Fields to put in sections		GUEL_TESTSRC_ID		WhitespaceMinimizedString													
	Fields to put in sections		RCIP_DANMAP		WhitespaceMinimizedString													
	Fields to put in sections		EPIDATESTAMP_1		WhitespaceMinimizedString													
	Fields to put in sections		ACSSUT		WhitespaceMinimizedString													
	Fields to put in sections		AKSSUT		WhitespaceMinimizedString													
	Fields to put in sections		ACKSSUT		WhitespaceMinimizedString													
	Fields to put in sections		MDR_A_SSUT		WhitespaceMinimizedString													
	Fields to put in sections		EXCLUSION		WhitespaceMinimizedString													
	Fields to put in sections		RAMINOGLY		WhitespaceMinimizedString													
	Fields to put in sections		RBETALACTAM		WhitespaceMinimizedString													
	Fields to put in sections		RQUINOLONES		WhitespaceMinimizedString													
	Fields to put in sections		RFOLINHIBITOR		WhitespaceMinimizedString													
	Fields to put in sections		MDR		WhitespaceMinimizedString													
	Fields to put in sections		specimen_number		WhitespaceMinimizedString													
	Fields to put in sections		EXTERNAL_AGENT		WhitespaceMinimizedString													
	Fields to put in sections		FARM_FLAG		WhitespaceMinimizedString													
	Fields to put in sections		AMIKACINGELET		WhitespaceMinimizedString													
																		
