label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
perturbation	core field	xs:token		Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	Expected value: perturbation type name;perturbation interval and duration. Occurrence: m. Position: 1.0. This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000754					
petroleum_hydrocarb	core field	xs:token		Concentration of petroleum hydrocarbon	0.05 micromole per liter	Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000516					
ph	core field	xs:decimal		Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	7.2	Expected value: measurement value. Occurrence: 1. Position: 54.0. This field is used in: 8 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, soil, wastewater_sludge, water	MIXS:0001001					
phaeopigments	core field	xs:token		Concentration of phaeopigments; can include multiple phaeopigments	2.5 milligram per cubic meter	Expected value: phaeopigment name;measurement value. Preferred unit: milligram per cubic meter. Occurrence: m. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000180					
phosphate	core field	xs:token		Concentration of phosphate	0.7 micromole per liter	Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 5 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	MIXS:0000505					
phosplipid_fatt_acid	core field	xs:token		Concentration of phospholipid fatty acids; can include multiple values	2.98 milligram per liter	Expected value: phospholipid fatty acid name;measurement value. Preferred unit: mole per gram, mole per liter. Occurrence: m. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000181					
porosity	core field	xs:token		Porosity of deposited sediment is volume of voids divided by the total volume of sample		Expected value: measurement value or range. Preferred unit: percentage. Occurrence: 1. Position: 11.0. This field is used in: 2 packages: hydrocarbon resources-cores, sediment	MIXS:0000211					
potassium	core field	xs:token		Concentration of potassium in the sample	463 milligram per liter	Expected value: measurement value. Preferred unit: milligram per liter, parts per million. Occurrence: 1. Position: 68.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000430					
pressure	core field	xs:token		Pressure to which the sample is subject to, in atmospheres	50 atmosphere	Expected value: measurement value. Preferred unit: atmosphere. Occurrence: 1. Position: 41.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000412					
redox_potential	core field	xs:token		Redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	300 millivolt	Expected value: measurement value. Preferred unit: millivolt. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000182					
